# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,3.375150048233704729e-05,1.900318974077417050e-03,9.343360335998536215e+00,-5.260614987304687702e+02,5.853223681066458501e-04,1.039589061571370849e-05,1.707921484023945595e+03,3.033433522380838809e+01,-1.776096589190928610e-02
1.888121750000000000e+06,5.296268633100592834e-07,3.419890135791358709e-05,1.799571128325554636e-03,1.055643563659667983e+01,-5.554873412695312709e+02,5.834891288073905044e-04,1.108857929837210929e-05,1.713209264998925619e+03,3.255768762731705124e+01,-1.900391755547590350e-02
1.782501875000000000e+06,5.610092275499009038e-07,3.458125825375219116e-05,1.698278230581894838e-03,1.198513886840820497e+01,-5.885876182226562605e+02,5.836731623449068797e-04,1.188506806444642206e-05,1.712577523355279027e+03,3.487242817357915925e+01,-2.036253991308793754e-02
1.682790250000000000e+06,5.942511254744909383e-07,3.490152317760778682e-05,1.605658953695843910e-03,1.353108504608154483e+01,-6.225031425390625373e+02,5.827739662700987368e-04,1.266750890297415285e-05,1.715120788457447816e+03,3.728084834762722011e+01,-2.173657307317522144e-02
1.588656500000000000e+06,6.294626937918927447e-07,3.513107310927477789e-05,1.522020718789096616e-03,1.515719956176758032e+01,-6.566714230468750202e+02,5.803723698940899730e-04,1.339607530019281871e-05,1.722114220386564739e+03,3.974960382080413979e+01,-2.308186260251744726e-02
1.499788375000000000e+06,6.667607354937658813e-07,3.536991124536171269e-05,1.438243469176694747e-03,1.708860345825195637e+01,-6.948723210156250616e+02,5.797804982330138825e-04,1.425821511015249737e-05,1.723748178247135684e+03,4.239116768515974343e+01,-2.459243654039242749e-02
1.415891625000000000e+06,7.062687442621181909e-07,3.546452233511216589e-05,1.363230354724589543e-03,1.907048750366211110e+01,-7.330556210156250927e+02,5.774249541979459104e-04,1.502174604169617060e-05,1.730655502511255918e+03,4.502311037197747368e+01,-2.601506210025449767e-02
1.336687875000000000e+06,7.481178057368104391e-07,3.553570622887675475e-05,1.288006038377829954e-03,2.140418505676269589e+01,-7.758033405078125497e+02,5.769129149604306167e-04,1.591685695161698921e-05,1.732045446124724322e+03,4.778662235626628529e+01,-2.758970468308669446e-02
1.261914750000000000e+06,7.924465578994143479e-07,3.556132532671328232e-05,1.212508820143381539e-03,2.416766638610840090e+01,-8.240274620312500247e+02,5.784959323532323219e-04,1.696654218825469797e-05,1.727134988985845439e+03,5.065464943934351538e+01,-2.932871475731457442e-02
1.191324250000000000e+06,8.394020351722043748e-07,3.557824605395166546e-05,1.146339785747836713e-03,2.704828084167480640e+01,-8.715022212695313328e+02,5.775998715091203335e-04,1.792661356150713047e-05,1.729636239354848385e+03,5.368166094615072126e+01,-3.103638772403028573e-02
1.124682625000000000e+06,8.891397250846655899e-07,3.556300657833925087e-05,1.079952886924319920e-03,3.045917661987304825e+01,-9.249632944140626023e+02,5.787394565449860504e-04,1.905797498154762214e-05,1.726021560833134345e+03,5.683814253886581014e+01,-3.293014631371729561e-02
