# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,8.836491264784171730e-09,1.898103511399858384e-03,2.452675355225801546e-03,-5.268416574609375402e+02,5.861904117797127551e-04,2.728969427684951092e-09,1.705930325510205876e+03,7.941842122500420570e-03,-4.655431704178886746e-06
1.888121750000000000e+06,5.296268633100592834e-07,5.115493230308839634e-07,1.797277123323827181e-03,1.583643367528915491e-01,-5.563971777148437923e+02,5.844448295684903346e-04,1.663473890780691561e-07,1.711025349864340114e+03,4.869999445567308460e-01,-2.846246226540962831e-04
1.782501875000000000e+06,5.610092275499009038e-07,9.083447460984490020e-07,1.695904653816429630e-03,3.158258837509155814e-01,-5.896556217773437538e+02,5.847322485248751837e-04,3.131888721613208643e-07,1.710183961366852600e+03,9.159928965779950971e-01,-5.356107397042211100e-04
1.682790250000000000e+06,5.942511254744909383e-07,1.244977765153110166e-06,1.603258342676524726e-03,4.843444374084472925e-01,-6.237294205078125060e+02,5.839219811583179444e-04,4.534327773480568159e-07,1.712556521709047729e+03,1.329851050415452596e+00,-7.765297282499770103e-04
1.588656500000000000e+06,6.294626937918927447e-07,1.510432056366412689e-06,1.519504406491218370e-03,6.541793597030640672e-01,-6.581086620312501054e+02,5.816426152042873058e-04,5.781698609101250071e-07,1.719267099360145721e+03,1.709002046480521564e+00,-9.940294018983761304e-04
1.499788375000000000e+06,6.667607354937658813e-07,1.784231837335133644e-06,1.435692059149242927e-03,8.656214649963379637e-01,-6.965271202539063324e+02,5.811612127870833784e-04,7.222484319467994242e-07,1.720690289592651652e+03,2.138418456325442474e+00,-1.242767782941160129e-03
1.415891625000000000e+06,7.062687442621181909e-07,1.903658595937609065e-06,1.360613892679712802e-03,1.028296628723144535e+00,-7.349609230468751093e+02,5.789257529185171287e-04,8.099851044313974171e-07,1.727333837600124525e+03,2.416742858273479566e+00,-1.399117417644748498e-03
1.336687875000000000e+06,7.481178057368104391e-07,2.018252045972784534e-06,1.285342320803518380e-03,1.221621636924743681e+00,-7.780009405078126292e+02,5.785471226980348942e-04,9.084380831302821722e-07,1.728463413310530768e+03,2.714043382717140851e+00,-1.570205861354580842e-03
1.261914750000000000e+06,7.924465578994143479e-07,2.106139064540046903e-06,1.209798978593887558e-03,1.438995050735473846e+00,-8.265810989843751031e+02,5.802886742922548288e-04,1.010224563966455631e-06,1.723275007040159153e+03,3.000049492099266413e+00,-1.740900018768364336e-03
1.191324250000000000e+06,8.394020351722043748e-07,2.162436548092392082e-06,1.143561433740123432e-03,1.653570893020630095e+00,-8.744579825390625274e+02,5.795588422240840771e-04,1.095926449789908916e-06,1.725444167878335520e+03,3.262757400019920873e+00,-1.890966662822777785e-03
1.124682625000000000e+06,8.891397250846655899e-07,2.222423297823604665e-06,1.077114424509378497e-03,1.915584209518432779e+00,-9.284025169531250867e+02,5.808913406199699928e-04,1.198560171066178147e-06,1.721485022816409810e+03,3.551960993656043009e+00,-2.063312167447678858e-03
1.061768875000000000e+06,9.418245566861243833e-07,2.247084791068237865e-06,1.020073855337692197e-03,2.159504530563354674e+00,-9.803164174609376005e+02,5.790617432738488996e-04,1.275594732274917317e-06,1.726923180517034098e+03,3.804178289618426856e+00,-2.202864801710213098e-03
1.002374437500000000e+06,9.976311870981846032e-07,2.254226587399495404e-06,9.629342381746491993e-04,2.431095000000000006e+00,-1.038486825078125094e+03,5.791080225226353942e-04,1.355690398776848114e-06,1.726784090133940708e+03,4.042397136129637580e+00,-2.340997440980640068e-03
9.463025000000000000e+05,1.056744539933055151e-06,2.286827622935442752e-06,9.114104910121167925e-04,2.752977416000366606e+00,-1.097193541523437716e+03,5.776194881977273887e-04,1.449309849055528178e-06,1.731232627789884418e+03,4.343850146557493908e+00,-2.509108294766205713e-03
8.933671875000000000e+05,1.119360565277085465e-06,2.310209962006983634e-06,8.607802694971634179e-04,3.117911017532348783e+00,-1.161728297460937711e+03,5.773819098201328276e-04,1.549609682304043881e-06,1.731943415550422060e+03,4.648286065588275839e+00,-2.683855617829767563e-03
8.433930000000000000e+05,1.185686862470995129e-06,2.336294217530114368e-06,8.129672711635758031e-04,3.534905625915527594e+00,-1.230051660000000084e+03,5.771410310588064420e-04,1.658579996255167780e-06,1.732664440069129341e+03,4.979307354476593339e+00,-2.873786313914268847e-03
7.962143125000000000e+05,1.255943260879274967e-06,2.334741552528663146e-06,7.679610491526772100e-04,3.958734830322265807e+00,-1.302137339492187721e+03,5.767868894826567224e-04,1.753537265092713258e-06,1.733726573213597248e+03,5.270844759211446906e+00,-3.040182252869047096e-03
7.516748125000000000e+05,1.330362522956028934e-06,2.331728488011757720e-06,7.257776338525427596e-04,4.426559794921875124e+00,-1.377818262539062516e+03,5.761698680510640453e-04,1.851078942922615182e-06,1.735581351810290244e+03,5.575956453488928766e+00,-3.212731254385139176e-03
7.096267500000000000e+05,1.409191522162883532e-06,2.330416207249740237e-06,6.854777599214668818e-04,4.959543854370117799e+00,-1.458819673906250046e+03,5.759173965532312332e-04,1.957944244782630396e-06,1.736340051860534004e+03,5.903028857735991508e+00,-3.399696304540542318e-03
6.699308750000000000e+05,1.492691316846682028e-06,2.311794428741770203e-06,6.470676217509990780e-04,5.521337964935303155e+00,-1.545413805585937553e+03,5.759746752135781224e-04,2.057798907712143767e-06,1.736165284403948135e+03,6.202840471292243585e+00,-3.572724628819987612e-03
6.324555625000000000e+05,1.581138753918383044e-06,2.307746117327975232e-06,6.105537871970532094e-04,6.190617420501709489e+00,-1.637833937968750206e+03,5.762732890797923066e-04,2.178174099122402529e-06,1.735262995138099313e+03,6.558875767452105876e+00,-3.779758910222207318e-03
5.970765000000000000e+05,1.674827262503213635e-06,2.284739477114846939e-06,5.768951872197951259e-04,6.864928879089355895e+00,-1.733389942539062758e+03,5.757777233614439589e-04,2.280313865932808381e-06,1.736754089039744031e+03,6.878252266919901992e+00,-3.960406548242477974e-03
5.636765625000000000e+05,1.774067020925674973e-06,2.270181010498720957e-06,5.451460888414419491e-04,7.638835434875488772e+00,-1.834338866093750084e+03,5.752255298550922654e-04,2.395442435267865124e-06,1.738418422966664366e+03,7.239388804031058555e+00,-4.164353476924628240e-03
5.321450000000000000e+05,1.879187063676253656e-06,2.247976727092199406e-06,5.143210249695500660e-04,8.497965385437012742e+00,-1.944273806093750181e+03,5.755936824249872907e-04,2.515785160502188546e-06,1.737303461286522634e+03,7.593346488411675921e+00,-4.370765762930436255e-03
5.023772812500000000e+05,1.990535872784354564e-06,2.229025009885562090e-06,4.854262578765594183e-04,9.459305565795899540e+00,-2.060001696953125247e+03,5.757396995793550827e-04,2.643734591449988372e-06,1.736859410080490989e+03,7.975471044067406368e+00,-4.591892123092335132e-03
4.742747500000000000e+05,2.108482477719929384e-06,2.201268022373222028e-06,4.584394040629719848e-04,1.047367354309082188e+01,-2.181263075937500162e+03,5.755282672126615668e-04,2.763488389870344999e-06,1.737494058250756325e+03,8.342847660114095731e+00,-4.801655361350335230e-03
4.477442187500000000e+05,2.233418005466988388e-06,2.151438505919885063e-06,4.333625228006648088e-04,1.145553909820556804e+01,-2.307480000000000018e+03,5.747732394791349756e-04,2.853475357296922051e-06,1.739773680170401349e+03,8.637147630844479451e+00,-4.964523678734188844e-03
