# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,2.345431797543623016e-05,1.899493995324666147e-03,6.499511987304687821e+00,-5.263757405078125657e+02,5.856720092450237725e-04,7.231682525954776143e-06,1.707180030112835766e+03,2.107968930996140600e+01,-1.234766629068883084e-02
1.888121750000000000e+06,5.296268633100592834e-07,2.397392445693137446e-05,1.798755531327607751e-03,7.408285445556641591e+00,-5.558411784765625043e+02,5.838608027382463823e-04,7.781732722666843074e-06,1.712432808702536704e+03,2.282340989556534794e+01,-1.332806156222737792e-02
1.782501875000000000e+06,5.610092275499009038e-07,2.441527399329297498e-05,1.697490136627292012e-03,8.471440169677734389e+00,-5.889831969531250024e+02,5.840654381614902033e-04,8.400707253038082432e-06,1.711782793746997186e+03,2.462084758228780146e+01,-1.438316103668394602e-02
1.682790250000000000e+06,5.942511254744909383e-07,2.477052745655578312e-05,1.604918734193259673e-03,9.614478203735352224e+00,-6.229361169531250653e+02,5.831793075436342982e-04,9.000866362785740196e-06,1.714330106317893296e+03,2.645919700693958632e+01,-1.543413191510105767e-02
1.588656500000000000e+06,6.294626937918927447e-07,2.503889196597102720e-05,1.521248217898559440e-03,1.081676267669677749e+01,-6.571768817773438514e+02,5.808190990663823728e-04,9.559956424064347671e-06,1.721240162134641878e+03,2.833064713575469185e+01,-1.645943881568489794e-02
1.499788375000000000e+06,6.667607354937658813e-07,2.534142636117089353e-05,1.437515987065885511e-03,1.225944318237304742e+01,-6.954283202539063495e+02,5.802444072212388764e-04,1.022890948648930840e-05,1.722876284169332166e+03,3.037193525325558241e+01,-1.762862228259129416e-02
1.415891625000000000e+06,7.062687442621181909e-07,2.546218099668776536e-05,1.362528925135596822e-03,1.371047501068115437e+01,-7.336731594921875512e+02,5.779113867636638101e-04,1.079968583298797370e-05,1.729765019862004465e+03,3.232488441526657397e+01,-1.868744253936026334e-02
1.336687875000000000e+06,7.481178057368104391e-07,2.557468178941197143e-05,1.287372996440927335e-03,1.542517457580566465e+01,-7.764692197460938132e+02,5.774080846926427221e-04,1.147066784022433027e-05,1.731194163311330840e+03,3.439153995367044558e+01,-1.986579014793363185e-02
1.261914750000000000e+06,7.924465578994143479e-07,2.564628898044103548e-05,1.211967865858399511e-03,1.745210814697265889e+01,-8.247350827929687966e+02,5.789927067341417649e-04,1.225198678345687749e-05,1.726364437005098807e+03,3.653136562794150421e+01,-2.116086548406673901e-02
1.191324250000000000e+06,8.394020351722043748e-07,2.569867358037690043e-05,1.145832704458641651e-03,1.956364978759765805e+01,-8.722889792382812857e+02,5.781213059823414775e-04,1.296607320989383147e-05,1.728871137955599124e+03,3.877502785875437752e+01,-2.242794561577683005e-02
1.124682625000000000e+06,8.891397250846655899e-07,2.573388884137718110e-05,1.079512346263496528e-03,2.207005758850097976e+01,-9.258180835546876324e+02,5.792742887979991434e-04,1.380899459667403127e-05,1.725317472082401309e+03,4.112887471489563751e+01,-2.383843865283207311e-02
1.061768875000000000e+06,9.418245566861243833e-07,2.572354031836271836e-05,1.022597283311094509e-03,2.458367156982422230e+01,-9.772836650781250682e+02,5.772703309803999417e-04,1.452129482046689011e-05,1.731195191057085367e+03,4.354839390137996702e+01,-2.515510332187837969e-02
1.002374437500000000e+06,9.976311870981846032e-07,2.570011920000290362e-05,9.655864319255194877e-04,2.754515855041504224e+01,-1.034906926093750144e+03,5.771117061788857104e-04,1.536044744429307518e-05,1.731540142823101405e+03,4.608679927430497258e+01,-2.661607324861963580e-02
9.463025000000000000e+05,1.056744539933055151e-06,2.569407235265583374e-05,9.142015656719675032e-04,3.071893108886719048e+01,-1.092987305078125019e+03,5.754051075521700483e-04,1.617203581867209485e-05,1.736534299830508871e+03,4.880612724603847141e+01,-2.810547839498597419e-02
8.933671875000000000e+05,1.119360565277085465e-06,2.567962412067035626e-05,8.637187942438937166e-04,3.439221868408203164e+01,-1.156761700000000019e+03,5.749134982874436715e-04,1.709301989989155294e-05,1.737855910024191644e+03,5.166900019163530544e+01,-2.973146386510033129e-02
