# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,5.629834257026172410e-06,1.898348190888365884e-03,1.562212268905639689e+00,-5.267691194921875422e+02,5.861097024030545791e-04,1.738195604369068854e-06,1.706150232463103066e+03,5.059842589708979155e+00,-2.965648917331436055e-03
1.888121750000000000e+06,5.296268633100592834e-07,6.115000991873162007e-06,1.797533455422992534e-03,1.892507204742431837e+00,-5.563114412695313149e+02,5.843547711998007795e-04,1.987907370909948761e-06,1.711269380522697929e+03,5.821540582562342969e+00,-3.401884384084629103e-03
1.782501875000000000e+06,5.610092275499009038e-07,6.528305848573411517e-06,1.696202427534477392e-03,2.269021958084106672e+00,-5.895435420312500128e+02,5.846211045969161016e-04,2.250076591322363969e-06,1.710484242302797384e+03,6.583273376839357205e+00,-3.848777564870402897e-03
1.682790250000000000e+06,5.942511254744909383e-07,6.852715388301255705e-06,1.603580255517744399e-03,2.664853650970459231e+00,-6.235931972070312668e+02,5.837944518530506369e-04,2.494778300027546230e-06,1.712900380163407135e+03,7.319882340396504539e+00,-4.273384736885984386e-03
1.588656500000000000e+06,6.294626937918927447e-07,7.112442848640092927e-06,1.519838027022268672e-03,3.079035283737182827e+00,-6.579504412695313249e+02,5.815027782093727194e-04,2.721280296192378323e-06,1.719644579543984491e+03,8.047485044142209887e+00,-4.679737394500579559e-03
1.499788375000000000e+06,6.667607354937658813e-07,7.409207315153006018e-06,1.436032150443424492e-03,3.592790217437744626e+00,-6.963447022851563588e+02,5.810090087380662127e-04,2.997715751964617820e-06,1.721097892172706224e+03,8.880003897435599924e+00,-5.159499606513098108e-03
1.415891625000000000e+06,7.062687442621181909e-07,7.524361493649486529e-06,1.360981915141275950e-03,4.062109902801513961e+00,-7.347411630468750445e+02,5.787526488534275619e-04,3.199707576517159352e-06,1.727801051446958127e+03,9.552367710077227514e+00,-5.528627096318488275e-03
1.336687875000000000e+06,7.481178057368104391e-07,7.637716091736104432e-06,1.285728657616311320e-03,4.620080445556641102e+00,-7.777416387304688214e+02,5.783542973563395289e-04,3.435643980925763876e-06,1.728982939537373113e+03,1.027081471772139842e+01,-5.940379446699212314e-03
1.261914750000000000e+06,7.924465578994143479e-07,7.715214087439455318e-06,1.210216788450006742e-03,5.267493217773438374e+00,-8.262646574609375421e+02,5.800665213391420624e-04,3.697963406060138520e-06,1.723870148295429544e+03,1.098978908570533086e+01,-6.375067806918104270e-03
1.191324250000000000e+06,8.394020351722043748e-07,7.767084306686750770e-06,1.144001545751780315e-03,5.934508795928955749e+00,-8.740844012695313268e+02,5.793112461904616770e-04,3.933175882219805324e-06,1.726108223766651918e+03,1.171923949425313971e+01,-6.789400185279132437e-03
1.124682625000000000e+06,8.891397250846655899e-07,7.818775984336275172e-06,1.077582662625533975e-03,6.733094591522217343e+00,-9.279541979687501225e+02,5.806108323155401239e-04,4.212823933983244342e-06,1.722233378688108587e+03,1.249626357935227006e+01,-7.255847978553961117e-03
1.061768875000000000e+06,9.418245566861243833e-07,7.836686635471693782e-06,1.020556317356365083e-03,7.523725169677734748e+00,-9.797999600000000555e+02,5.787566777334473113e-04,4.444178772350840432e-06,1.727739959458485373e+03,1.326703526262217459e+01,-7.678838004522610915e-03
1.002374437500000000e+06,9.976311870981846032e-07,7.833982897236910862e-06,9.634385094202795605e-04,8.439289841003418502e+00,-1.037880338984375157e+03,5.787698179792965213e-04,4.706136210202944425e-06,1.727688375732630220e+03,1.404830827801198723e+01,-8.131274409978460002e-03
9.463025000000000000e+05,1.056744539933055151e-06,7.855821254495537614e-06,9.119385706518293340e-04,9.445570565795899043e+00,-1.096483721015625179e+03,5.772458019309765868e-04,4.972637396657514581e-06,1.732235719932620441e+03,1.492220487693192865e+01,-8.614419334057123873e-03
8.933671875000000000e+05,1.119360565277085465e-06,7.875629716696317241e-06,8.613287758850566873e-04,1.061478172210693494e+01,-1.160899797968750136e+03,5.769701434715557081e-04,5.275573433503298953e-06,1.733047044502621475e+03,1.584625660520018720e+01,-9.143581332927986846e-03
8.433930000000000000e+05,1.185686862470995129e-06,7.894928196995161859e-06,8.135529209738657933e-04,1.192712224182129077e+01,-1.229060593906250006e+03,5.766760222093452902e-04,5.596213437254465879e-06,1.733912626357330282e+03,1.682633708519886895e+01,-9.704258928287683161e-03
7.962143125000000000e+05,1.255943260879274967e-06,7.879708041138432258e-06,7.685671433322068371e-04,1.333831133666992308e+01,-1.300985745585937593e+03,5.762767864029061425e-04,5.908257810830759635e-06,1.735094873840406308e+03,1.778900015197331541e+01,-1.025246539550870965e-02
7.516748125000000000e+05,1.330362522956028934e-06,7.864112640929945530e-06,7.264114776360478410e-04,1.490161823913574324e+01,-1.376468906093750093e+03,5.756056002182245983e-04,6.231491952188253917e-06,1.737097088034859553e+03,1.880576999277803196e+01,-1.082597519868771195e-02
7.096267500000000000e+05,1.409191522162883532e-06,7.846073405292841441e-06,6.861444284864617752e-04,1.666343378356933869e+01,-1.457228560000000243e+03,5.752892516255902512e-04,6.578442540861386906e-06,1.738028747538785865e+03,1.987438878397531994e+01,-1.143501729307949862e-02
6.699308750000000000e+05,1.492691316846682028e-06,7.816388510921395944e-06,6.477627910384143196e-04,1.862562741882324246e+01,-1.543550245078125045e+03,5.752801274786293858e-04,6.941758682645129105e-06,1.738030512616616761e+03,2.097237124205503633e+01,-1.206674514044117109e-02
6.324555625000000000e+05,1.581138753918383044e-06,7.794112650757878058e-06,6.112851130602889272e-04,2.085491583435058871e+01,-1.635631938476562709e+03,5.754985136520167788e-04,7.337820192105922158e-06,1.737341506048147494e+03,2.215175066702648010e+01,-1.275037210007954475e-02
5.970765000000000000e+05,1.674827262503213635e-06,7.755288103721058644e-06,5.776541700447251904e-04,2.323720229125976644e+01,-1.730827613906250235e+03,5.749265982276823613e-04,7.718669125859063375e-06,1.739039021474456376e+03,2.334744443046839280e+01,-1.342548622668230870e-02
5.636765625000000000e+05,1.774067020925674973e-06,7.720883663732172508e-06,5.459360104017603032e-04,2.589981553771972855e+01,-1.831350215937500252e+03,5.742883268652535607e-04,8.121855449511343385e-06,1.740937406815698978e+03,2.462115509466352492e+01,-1.414247002693647115e-02
5.321450000000000000e+05,1.879187063676253656e-06,7.684210571513884266e-06,5.151608888315347074e-04,2.894788734130859709e+01,-1.940709358984375285e+03,5.745384435841080105e-04,8.569894333290247254e-06,1.740140402270068535e+03,2.595617323623105577e+01,-1.491613734292382420e-02
5.023772812500000000e+05,1.990535872784354564e-06,7.643449655468176896e-06,4.863007179472261950e-04,3.231263036743164463e+01,-2.055832909843750258e+03,5.745745858605112591e-04,9.030897463764159261e-06,1.739988235886332177e+03,2.734832993511504995e+01,-1.571753726322413364e-02
4.742747500000000000e+05,2.108482477719929384e-06,7.594209481676088195e-06,4.593525654283640174e-04,3.598086458251953701e+01,-2.176382214921875402e+03,5.742404475480751558e-04,9.493584187267579787e-06,1.740954957188612070e+03,2.878219833326387800e+01,-1.653241987359795051e-02
4.477442187500000000e+05,2.233418005466988388e-06,7.518995929963899227e-06,4.343146791767947632e-04,3.984929916503906355e+01,-2.301788130156250190e+03,5.733554441054867622e-04,9.926114537097911327e-06,1.743596199459544550e+03,3.018570026711016041e+01,-1.731232281675464807e-02
4.226978125000000000e+05,2.365756269438938768e-06,7.476918555477677466e-06,4.102513361795438241e-04,4.440975844360352198e+01,-2.436720770156250182e+03,5.730128653511584822e-04,1.044328231900378661e-05,1.744582036985197419e+03,3.179538164423917834e+01,-1.822521438956496709e-02
3.990524687500000000e+05,2.505936131988909165e-06,7.425573702053481874e-06,3.871404416117546618e-04,4.952599229125976876e+01,-2.582092010156250126e+03,5.732318638012154528e-04,1.099491294502921609e-05,1.743853236743177604e+03,3.344809620273939998e+01,-1.918056835173073682e-02
