# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,2.795754325025982097e-06,1.898075811334881810e-03,7.760164970779419580e-01,-5.268482030468750281e+02,5.861976947264229808e-04,8.634348167574370278e-07,1.705905429933869755e+03,2.512698626336093533e+00,-1.472941337922524562e-03
1.888121750000000000e+06,5.296268633100592834e-07,3.258270375071373964e-06,1.797292679229438132e-03,1.008667625350952335e+00,-5.563905784765624958e+02,5.844378976665198268e-04,1.059513962329295085e-06,1.711040159238195201e+03,3.101905174283260180e+00,-1.812876896860397520e-03
1.782501875000000000e+06,5.610092275499009038e-07,3.706475747505971542e-06,1.695960154742007881e-03,1.288628698730468924e+00,-5.896336779687500211e+02,5.847104879377352507e-04,1.277869198043322502e-06,1.710239929603363407e+03,3.737683815133899579e+00,-2.185473365717018578e-03
1.682790250000000000e+06,5.942511254744909383e-07,4.031762133586876784e-06,1.603305716101244456e-03,1.568409533767700426e+00,-6.237074230468750784e+02,5.839013876115831895e-04,1.468311053019757419e-06,1.712607124700031818e+03,4.306617562536442456e+00,-2.514655871988596969e-03
1.588656500000000000e+06,6.294626937918927447e-07,4.270450443299118607e-06,1.519549653544656573e-03,1.849440929489135854e+00,-6.580845184765626072e+02,5.816212769039442662e-04,1.634553259903497592e-06,1.719318294848613505e+03,4.831868150725600941e+00,-2.810339519565833739e-03
1.499788375000000000e+06,6.667607354937658813e-07,4.565858250723934226e-06,1.435747661499151267e-03,2.214939138107300032e+00,-6.964941777148437723e+02,5.811337265264667623e-04,1.848078385350992223e-06,1.720756929526303111e+03,5.472223591131858633e+00,-3.180125848825304108e-03
1.415891625000000000e+06,7.062687442621181909e-07,4.693720557937723475e-06,1.360685790195116087e-03,2.535107403640747492e+00,-7.349147820312500698e+02,5.788894078267259151e-04,1.996893870626128759e-06,1.727425113319021193e+03,5.958797266134993720e+00,-3.449525666954062451e-03
1.336687875000000000e+06,7.481178057368104391e-07,4.800928384098578228e-06,1.285414697531608776e-03,2.905578723449707468e+00,-7.779482002539062933e+02,5.785079033082383450e-04,2.160684033527305023e-06,1.728560741877757437e+03,6.456045932301434753e+00,-3.734925696211375060e-03
1.261914750000000000e+06,7.924465578994143479e-07,4.889959352974401840e-06,1.209885838931469169e-03,3.340483783569336396e+00,-8.265107607617188705e+02,5.802392944140705687e-04,2.345135775115114392e-06,1.723398733586061553e+03,6.965409036976707213e+00,-4.041670044913535376e-03
1.191324250000000000e+06,8.394020351722043748e-07,4.970664895234772053e-06,1.143730725835662978e-03,3.799782217102050996e+00,-8.743151600000001054e+02,5.794641846567276464e-04,2.518357001045449756e-06,1.725699601517752171e+03,7.499907307917719201e+00,-4.346009758199835885e-03
1.124682625000000000e+06,8.891397250846655899e-07,5.014140517646093334e-06,1.077307352862920745e-03,4.320239711761474588e+00,-9.282200989843751131e+02,5.807772036842277818e-04,2.703126921931281955e-06,1.721793368209936943e+03,8.013789071069588488e+00,-4.654326830983863614e-03
1.061768875000000000e+06,9.418245566861243833e-07,5.015810192380649858e-06,1.020205127942972346e-03,4.818985192718506561e+00,-9.801713415234376043e+02,5.789760485697925370e-04,2.846519671407660095e-06,1.727145417077493221e+03,8.491462500456149698e+00,-4.916472241708850707e-03
1.002374437500000000e+06,9.976311870981846032e-07,5.027976801404813977e-06,9.630864243925201917e-04,5.420644252166748167e+00,-1.038300114921875092e+03,5.790039043511191908e-04,3.022800576632081039e-06,1.727056998427507551e+03,9.016431239049641277e+00,-5.220691180001087346e-03
9.463025000000000000e+05,1.056744539933055151e-06,5.051543949125886792e-06,9.115635098440778719e-04,6.079067072143555350e+00,-1.096982580507812600e+03,5.775084273964526619e-04,3.200335654597187914e-06,1.731523288471508977e+03,9.595454289460262132e+00,-5.541625892846400656e-03
8.933671875000000000e+05,1.119360565277085465e-06,5.078454767659108190e-06,8.609568405829097710e-04,6.850996036071777873e+00,-1.161457996953125075e+03,5.772475697823053467e-04,3.404962403104662884e-06,1.732298687552083948e+03,1.021816671187864323e+01,-5.898617129542460188e-03
8.433930000000000000e+05,1.185686862470995129e-06,5.094948693185953003e-06,8.131498411125050478e-04,7.705158953247071452e+00,-1.229737364570312593e+03,5.769935634407822407e-04,3.615265543195972486e-06,1.733053548548099343e+03,1.085878452649755666e+01,-6.265694753399122206e-03
7.962143125000000000e+05,1.255943260879274967e-06,5.095389649439012510e-06,7.681638273784609748e-04,8.634766287231446569e+00,-1.301748360000000048e+03,5.766145894766842948e-04,3.824803910595342394e-06,1.734184359450149714e+03,1.150320377036942077e+01,-6.633206964233429211e-03
7.516748125000000000e+05,1.330362522956028934e-06,5.085490199905747126e-06,7.259903749435723174e-04,9.648277503662109567e+00,-1.377361144570312717e+03,5.759787125068973343e-04,4.034673459735364422e-06,1.736090088168552711e+03,1.216113799059788647e+01,-7.004900306427641610e-03
7.096267500000000000e+05,1.409191522162883532e-06,5.071607417020654028e-06,6.856982020364140677e-04,1.078588659118652515e+01,-1.458287764570312675e+03,5.757074077208657048e-04,4.258086065210101971e-06,1.736898439740752792e+03,1.284656570987042912e+01,-7.396267631968102621e-03
6.699308750000000000e+05,1.492691316846682028e-06,5.054777936568735065e-06,6.473144159479871703e-04,1.206271428924560674e+01,-1.544750126093750168e+03,5.757273223178185385e-04,4.495765418834335001e-06,1.736827464835792171e+03,1.356261645435686169e+01,-7.808844994076100630e-03
6.324555625000000000e+05,1.581138753918383044e-06,5.048146972599785437e-06,6.108068548627378688e-04,1.352989798797607612e+01,-1.637066924062500220e+03,5.760034145728121224e-04,4.760506320997851023e-06,1.735982242098378720e+03,1.434740528887036248e+01,-8.264718924502275840e-03
5.970765000000000000e+05,1.674827262503213635e-06,5.021003356699211059e-06,5.771583767727526786e-04,1.507188730529785303e+01,-1.732495557968750063e+03,5.754806368842086328e-04,5.006407817673768040e-06,1.737546426265669879e+03,1.511582745707193887e+01,-8.699524357204562949e-03
5.636765625000000000e+05,1.774067020925674973e-06,4.997261803405960900e-06,5.454214399837413159e-04,1.679698117370605459e+01,-1.833290713906250176e+03,5.748968425505990385e-04,5.267321417109015289e-06,1.739296491264971792e+03,1.593578705093725212e+01,-9.162202724474722768e-03
5.321450000000000000e+05,1.879187063676253656e-06,4.973976557530644673e-06,5.146213020427195485e-04,1.877965659118652653e+01,-1.942994948828125189e+03,5.752150823736416679e-04,5.559634480554493840e-06,1.738317754642687078e+03,1.680138720805281594e+01,-9.665314159727005430e-03
5.023772812500000000e+05,1.990535872784354564e-06,4.944621377978949005e-06,4.857484274645376557e-04,2.095391782165527417e+01,-2.058465523046875205e+03,5.753103619217240280e-04,5.856306996976622758e-06,1.738012135693171103e+03,1.769189867724832155e+01,-1.017938730916413508e-02
4.742747500000000000e+05,2.108482477719929384e-06,4.916650338371731346e-06,4.587962319404535272e-04,2.335499433532715230e+01,-2.179366572890625321e+03,5.750278731408175505e-04,6.162236719106090829e-06,1.738846442691202810e+03,1.863419826853282757e+01,-1.071641394607150168e-02
4.477442187500000000e+05,2.233418005466988388e-06,4.854616043571336358e-06,4.337154388858101175e-04,2.580421879760742598e+01,-2.305370389843750218e+03,5.742477539002584707e-04,6.427606926399884269e-06,1.741190494232394485e+03,1.948930231750400566e+01,-1.119309023456154656e-02
4.226978125000000000e+05,2.365756269438938768e-06,4.826200935083289763e-06,4.096250159984492515e-04,2.875889360717773613e+01,-2.440918314921875208e+03,5.739999489690472819e-04,6.762865992692847924e-06,1.741918628384230487e+03,2.052328101264889781e+01,-1.178199755041708756e-02
3.990524687500000000e+05,2.505936131988909165e-06,4.794702832644590507e-06,3.864930180577140842e-04,3.209309168334961271e+01,-2.586970725078125270e+03,5.743149525666897291e-04,7.124758795747382576e-06,1.740936952266265280e+03,2.159748028162367106e+01,-1.240566480796972092e-02
3.767298125000000000e+05,2.654422259188738750e-06,4.765343172590420338e-06,3.652895027347932808e-04,3.570638589843750310e+01,-2.737088909843750116e+03,5.736506656296109846e-04,7.483495316575494472e-06,1.742924582368219944e+03,2.273712684527495043e+01,-1.304538766352162163e-02
3.556558750000000000e+05,2.811706681353148047e-06,4.736085843108177815e-06,3.450401649193259881e-04,3.977392432861328331e+01,-2.897667370156250399e+03,5.733332444705196550e-04,7.869679355025194128e-06,1.743857759728203064e+03,2.393651779691833781e+01,-1.372618704902231826e-02
3.357608125000000000e+05,2.978310638916505508e-06,4.702319164675319378e-06,3.257486323926175463e-04,4.430537445556640819e+01,-3.069212154921875481e+03,5.733047288509750825e-04,8.275896030242317527e-06,1.743909672596622841e+03,2.517407307187088605e+01,-1.443542258377840046e-02
3.169786250000000000e+05,3.154786856684737224e-06,4.667830912783041219e-06,3.074230781791590836e-04,4.937897480957031604e+01,-3.252096469843750128e+03,5.734849228133109822e-04,8.707643767599375248e-06,1.743323089280939257e+03,2.647015785318378178e+01,-1.518373617371281993e-02
2.992471250000000000e+05,3.341719657289940399e-06,4.633448532321394632e-06,2.900405821300240162e-04,5.506504349365234674e+01,-3.446913709843750439e+03,5.738376053031909270e-04,9.167155128970687841e-06,1.742208683634144563e+03,2.783208545817694102e+01,-1.597517319229568508e-02
2.825075000000000000e+05,3.539729033742467086e-06,4.601946488044219365e-06,2.746021015450017208e-04,6.101152724121094195e+01,-3.640610259687500275e+03,5.721801378487526360e-04,9.588937451996177886e-06,1.747210645890583692e+03,2.928080247926273572e+01,-1.675859894062046648e-02
2.667042812500000000e+05,3.749471119522945231e-06,4.565274302070990994e-06,2.591628218287423302e-04,6.794957336669922654e+01,-3.857381180312500419e+03,5.723361159595128289e-04,1.008196833133612447e-05,1.746683048094750120e+03,3.076863871546883189e+01,-1.761546764253004924e-02
2.517850781250000000e+05,3.971641240405616026e-06,4.526922208965169376e-06,2.446927026983379072e-04,7.558095531738281636e+01,-4.085360290156250358e+03,5.722541607267211169e-04,1.058695269944441115e-05,1.746877383338386153e+03,3.231799696422747559e+01,-1.850043813748728644e-02
2.377004531250000000e+05,4.206975573050876958e-06,4.488827883281989701e-06,2.311814765220668766e-04,8.395821215087890721e+01,-4.323975869843750843e+03,5.717970082681284516e-04,1.110252600210466880e-05,1.748213284752831441e+03,3.394488458409620790e+01,-1.941690117570262983e-02
2.244036875000000000e+05,4.456254757400098661e-06,4.444790453368988920e-06,2.176732586640674476e-04,9.376917362060547134e+01,-4.592126850156250839e+03,5.732875004499640367e-04,1.170627400294626071e-05,1.743598482240959584e+03,3.560350010808470245e+01,-2.041955213354241724e-02
2.118507500000000000e+05,4.720304270813296439e-06,4.404207385040999054e-06,2.060954749584284604e-04,1.036412316967773535e+02,-4.849905330156250784e+03,5.715995451788829411e-04,1.221493552282361380e-05,1.748677987854517141e+03,3.736879962901163310e+01,-2.136974325093440874e-02
2.000000000000000000e+05,5.000000000000000409e-06,4.359418951140433784e-06,1.945143340619385271e-04,1.151614964794922003e+02,-5.138428320000000895e+03,5.717272676040558409e-04,1.281344481524540540e-05,1.748207614757318652e+03,3.918050277916427149e+01,-2.241181336154012688e-02
1.888121718750000000e+05,5.296268720758286387e-06,4.316002376361857549e-06,1.839026965928131378e-04,1.275458523779297053e+02,-5.434664800000000469e+03,5.708622935999011156e-04,1.339753609599240436e-05,1.750771636177679284e+03,4.108876423351532736e+01,-2.346894556917837604e-02
1.782501875000000000e+05,5.610092275499009038e-06,4.268920533890182242e-06,1.732896990222212649e-04,1.420721976220703198e+02,-5.767183570156250425e+03,5.719030044127280119e-04,1.408859552937370868e-05,1.747487768672463744e+03,4.304864317094359905e+01,-2.463458911855326283e-02
1.682790312500000000e+05,5.942511034035917868e-06,4.221237338470625108e-06,1.636417994987501498e-04,1.575296792919922098e+02,-6.106844540312500612e+03,5.717095871704586281e-04,1.474758810718161594e-05,1.747976686523358239e+03,4.509009604227016155e+01,-2.579559349384241349e-02
1.588656406250000000e+05,6.294627309378276984e-06,4.173538310186136541e-06,1.549585851428390382e-04,1.736833537744140870e+02,-6.448659330156250689e+03,5.699385333165430311e-04,1.535029699100097240e-05,1.753303325631055031e+03,4.722215675983876082e+01,-2.693324997991570699e-02
1.499788437500000000e+05,6.667607077081496916e-06,4.124413700919245040e-06,1.462742626584796583e-04,1.926110690380859580e+02,-6.831041730156250196e+03,5.699615343745662033e-04,1.607088710376856303e-05,1.753110573267659674e+03,4.943147985297579794e+01,-2.819644157461181910e-02
1.415891562500000000e+05,7.062687754380907746e-06,4.074823297730099682e-06,1.385562036366359481e-04,2.120710423779297003e+02,-7.211050979687500330e+03,5.680115503509580504e-04,1.670474968280584929e-05,1.759006216261636382e+03,5.173091729383795467e+01,-2.940917252912280191e-02
1.336687812500000000e+05,7.481178407168278094e-06,4.020069568844052655e-06,1.308365862394915544e-04,2.346201701269531554e+02,-7.635913159375000760e+03,5.678316247385616425e-04,1.744712775263279383e-05,1.759424391083918181e+03,5.405986701863005806e+01,-3.072588244916038200e-02
1.261914687500000000e+05,7.924465971476379392e-06,3.961410013160355720e-06,1.231189732171823216e-04,2.610660810156250022e+02,-8.113825059687500470e+03,5.696187052807347813e-04,1.832774578782490427e-05,1.753744743547757707e+03,5.642754976003870837e+01,-3.217546337210280133e-02
1.191324296875000000e+05,8.394020021442785741e-06,3.906032328529029586e-06,1.163664664374103601e-04,2.881317301269531299e+02,-8.583869380312500653e+03,5.689075627347269870e-04,1.909632044367122296e-05,1.755776533090331441e+03,5.893553452198539588e+01,-3.356664895062318882e-02
